2016,0,0,0,0,1
1997,0,0,0,0,1
1979,0,0,0,0,1
1990,0,0,0,0,0
1974,0,0,0,1,1
2061,0,0,0,0,1
1813,0,1,0,0,1
1936,0,1,0,0,1
1738,0,0,0,0,1
1881,0,0,0,0,1
1785,0,0,1,1,1
2049,0,0,0,1,1
2088,0,1,0,0,1
2051,0,0,0,0,1
1648,0,0,0,0,1
1994,0,0,1,0,1
1998,0,0,0,0,1
1812,0,0,0,0,1
1928,0,0,0,0,1
1859,0,0,0,0,0
2040,0,0,0,1,1
2098,0,1,0,0,1
2045,0,1,0,0,1
1830,0,1,1,1,1
1917,0,0,1,1,1
1849,0,1,0,1,1
1706,0,0,0,0,1
1787,0,0,1,1,1
1861,0,0,0,0,1
1932,0,0,1,1,1
1913,0,0,0,0,0
1954,0,0,0,0,1
1888,0,0,0,0,1
1898,0,0,1,1,1
1732,0,0,1,1,1
1755,0,0,0,0,0
1890,0,0,0,1,1
1987,0,0,0,1,1
1865,0,0,0,0,1
1908,0,0,2,1,1
2049,0,0,0,1,1
2068,0,1,1,0,1
1984,1,0,0,0,1
1869,0,0,1,0,0
1885,0,0,1,0,1
1849,0,0,0,0,1
1804,0,0,1,0,0
1927,0,1,0,0,1
1719,0,1,1,0,0
1874,0,1,1,0,1
1920,0,0,2,0,1
1967,0,0,0,0,0
1834,0,0,1,1,1
1872,0,1,1,0,1
2011,0,1,1,0,1
1913,0,0,0,0,1
1958,0,0,0,0,1
2025,1,0,0,1,1
1924,0,1,1,1,1
1883,0,1,0,0,1
1690,0,0,0,0,1
1901,0,1,1,0,1
1808,0,0,0,0,1
1073,0,1,1,0,0
1870,0,1,2,1,1
1936,0,0,1,0,1
1914,0,0,0,0,1
1843,0,1,1,0,1
1877,0,0,0,0,0
1762,0,1,2,0,1
1838,0,0,0,0,1
1953,0,1,1,0,0
1999,0,0,1,0,1
2001,0,1,1,1,1
1849,0,0,1,0,1
2015,0,1,1,0,1
1895,0,1,1,0,1
1734,0,0,1,0,0
1736,0,1,1,0,0
1733,0,0,1,0,1
1884,0,0,1,1,0
1987,0,0,0,0,1
1868,0,0,1,0,1
2111,0,0,2,0,1
2161,0,1,0,1,1
1719,0,1,1,0,1
1798,0,0,1,0,1
1890,0,0,0,0,0
1891,0,1,1,0,1
1863,1,0,0,0,1
1695,0,0,0,1,1
2060,0,1,2,0,1
1838,0,0,1,0,0
2145,0,0,1,0,0
1766,0,1,1,0,1
1991,0,1,1,0,1
1932,0,0,0,1,1
1073,0,1,0,0,1
1852,0,1,1,0,1
1747,0,1,0,0,1
1981,0,0,2,1,1
1993,0,0,1,0,0
1870,0,1,1,0,1
2018,0,0,0,0,1
1740,0,0,0,1,1
1772,0,0,0,1,1
1752,0,0,0,1,1
1764,0,0,1,1,0
1984,0,0,0,1,1
1895,0,1,1,1,1
1991,0,1,0,1,1
1949,0,0,2,1,1
1906,0,0,1,1,1
1817,0,0,0,0,1
1892,0,1,0,0,1
2032,1,0,1,1,1
2039,0,0,0,0,1
1899,0,1,0,1,1
1982,0,0,0,1,1
1933,0,1,0,1,1
1900,0,0,0,1,1
1859,0,0,1,1,1
1751,0,1,1,1,1
1992,1,0,0,1,1
1992,0,0,0,0,1
1919,0,0,0,0,0
2008,0,0,2,0,1
2063,0,0,0,0,1
1864,0,0,1,1,1
1954,0,0,0,0,1
1971,0,0,0,0,1
1878,0,0,1,1,1
2110,0,0,0,0,0
1794,0,0,0,0,1
2041,0,0,0,0,1
1882,0,1,0,1,1
1950,0,0,0,1,1
2073,0,0,0,1,1
1885,0,0,1,0,1
1942,0,1,0,1,1
1779,0,0,1,0,1
1706,0,0,0,0,1
1496,0,0,0,0,1
1983,0,0,0,1,1
1918,0,1,0,1,1
1879,0,0,0,0,1
1826,0,0,0,0,1
1734,0,1,0,1,1
1919,0,1,0,0,1
1760,0,0,0,0,1
1931,0,1,1,1,1
1751,0,0,0,0,0
1866,0,1,2,1,1
1827,0,0,1,1,1
1735,0,0,2,1,1
1916,0,0,2,1,1
1972,0,1,2,1,1
1768,0,1,1,1,1
1832,0,1,1,0,1
1916,0,0,1,1,1
2081,0,0,0,1,1
1792,0,1,0,0,1
1877,0,0,2,0,1
1753,0,1,1,0,1
1986,0,1,0,1,1
1962,0,0,0,0,1
1992,0,1,1,1,1
1676,0,0,0,0,0
1887,0,0,0,0,0
1916,0,0,0,1,1
1778,0,0,1,1,1
1887,0,0,0,0,1
1970,0,0,0,0,0
1752,0,0,0,0,1
1878,0,0,0,1,1
1737,0,1,1,1,1
1073,1,0,2,1,1
2155,0,0,0,0,1
1970,0,0,0,0,0
1810,1,1,1,1,1
1935,0,0,0,0,1
1841,0,0,0,0,1
1959,0,0,0,1,1
1900,0,0,0,0,1
1996,1,1,0,1,1
1967,0,0,2,0,1
1981,0,0,0,0,1
1978,0,0,0,0,0
1566,0,0,0,1,1
1934,0,0,0,0,1
2088,0,0,0,0,1
1885,0,0,0,0,1
2000,0,0,0,0,1
1753,0,0,0,0,1
1853,0,0,0,0,1
2037,0,0,1,1,1
2029,0,1,1,1,1
1835,0,1,0,1,1
1800,0,1,0,0,1
1769,0,0,2,0,1
1847,0,0,0,0,1
1924,0,0,1,1,1
1781,0,0,1,1,1
1886,0,0,0,1,1
1677,0,1,1,1,1
1844,0,0,0,1,1
1875,0,1,0,0,1
1864,0,0,1,1,1
1771,0,0,2,1,1
1951,0,0,1,1,1
1961,0,0,2,1,1
2029,0,0,0,0,1
2064,0,1,2,0,1
1660,0,0,1,0,1
1924,1,0,0,1,1
1881,0,0,0,0,1
2037,0,0,1,1,1
1906,0,0,2,1,1
1833,0,0,0,0,1
1940,0,0,0,0,1
1837,0,1,1,1,1
1817,0,1,1,1,1
2065,0,0,0,0,1
1809,0,1,1,1,1
1914,0,0,0,0,1
1781,0,0,0,1,1
1856,0,1,1,1,1
2172,0,0,1,1,1
1979,0,0,0,1,1
1885,0,0,1,1,1
1762,0,0,0,1,1
1852,0,1,0,0,0
1673,0,1,1,0,0
1996,0,1,0,1,1
1810,0,0,0,1,1
2111,0,1,1,1,1
1710,0,0,0,0,1
1776,0,1,0,0,1
1744,0,0,1,1,1
1919,0,0,0,1,1
1848,0,0,1,1,1
1743,0,1,0,1,1
1948,0,0,2,1,1
1787,0,1,1,1,1
2115,0,0,1,1,1
1728,0,1,0,1,1
1602,0,0,0,0,0
1905,0,0,0,0,1
1830,0,0,0,0,1
1880,0,0,1,1,1
1970,0,1,1,1,1
1697,0,0,0,0,0
