delivery,latitude,longitude,outdoor sitting,alcohol,payment types,parking lot,business id,name,state,take out,stars,category,,,,,,,,,
FALSE,35.2489525,-81.0224918,FALSE,,,FALSE,2016,Demetrios Restaurant,NC,TRUE,3.5,['Restaurants'],,,,,,,,,
,35.253329,-81.027326,FALSE,,,,1997,Wendy's,NC,TRUE,2,['Burgers', 'Fast Food', 'Restaurants'],,,,,,,
FALSE,35.2546334,-81.0277219,FALSE,none,,FALSE,1979,Pizza Hut,NC,TRUE,3,['Italian', 'Pizza', 'Chicken Wings', 'Restaurants'],,,,,,
,35.24299,-81.028058,FALSE,,,,1990,White's Restaurant,NC,FALSE,4,['Restaurants'],,,,,,,,,
FALSE,35.25355,-81.026391,FALSE,none,,TRUE,1974,Captain's Cap of Belmont Number 2,NC,TRUE,3,['Restaurants'],,,,,,,,,
,35.243155,-81.028482,FALSE,,,,2061,Catawba Fountain & Grill,NC,TRUE,3.5,['American (Traditional)', 'Barbeque', 'Restaurants'],,,,,,,
FALSE,35.251298,-81.025964,TRUE,none,,FALSE,1813,Sub Corral Sandwich Shop,NC,TRUE,2.5,['Sandwiches', 'Restaurants'],,,,,,,,
FALSE,35.252694,-81.041502,TRUE,none,,FALSE,1936,Taco Bell,NC,TRUE,4,['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants'],,,,,,
,35.251806,-81.0433539,FALSE,none,,FALSE,1738,McDonald's,NC,TRUE,2,['Burgers', 'Fast Food', 'Restaurants'],,,,,,,
FALSE,35.2527471,-81.0422163,FALSE,none,,FALSE,1881,New China,NC,TRUE,3.5,['Chinese', 'Restaurants'],,,,,,,,
FALSE,35.244676,-81.037397,FALSE,full_bar,,TRUE,1785,Belmont Food & Beverage,NC,TRUE,3,['Restaurants', 'American (New)', 'Event Planning & Services', 'Caterers'],,,,,,
FALSE,35.084143,-80.697074,FALSE,none,,TRUE,2049,New York Pizza Express,NC,TRUE,4,['Pizza', 'Restaurants'],,,,,,,,
,35.085443,-80.696968,TRUE,none,,FALSE,2088,Burger King,NC,TRUE,1.5,['Burgers', 'Restaurants'],,,,,,,,
FALSE,35.026377,-80.7630454,FALSE,,,FALSE,2051,Panda Chinese Restaurant,NC,TRUE,3,['Chinese', 'Restaurants'],,,,,,,,
FALSE,35.0264103,-80.7630602,FALSE,,,FALSE,1648,Papas Pizza To-Go,NC,TRUE,3,['Pizza', 'Restaurants'],,,,,,,,
FALSE,35.3035634,-81.0272196,FALSE,full_bar,,FALSE,1994,El Valle Mexican Restaurant,NC,TRUE,4,['Mexican', 'Restaurants'],,,,,,,,
FALSE,35.2912146,-81.0241586,FALSE,none,,FALSE,1998,The Brightstar   Grill,NC,TRUE,4,['American (Traditional)', 'Restaurants'],,,,,,,,
FALSE,35.2991682,-81.0208401,FALSE,none,,FALSE,1812,Sake Express 2 Japanese Steakhouse & Seafood,NC,TRUE,3.5,['Japanese', 'Restaurants'],,,,,,,,
FALSE,35.2889229,-81.020392,FALSE,none,,FALSE,1928,McDonald's,NC,TRUE,2.5,['Burgers', 'Fast Food', 'Restaurants'],,,,,,,
,35.306711,-81.032466,,,,,1859,Lowesville Cafe,NC,,4,['Cafes', 'Restaurants'],,,,,,,,
FALSE,35.086948,-80.871878,FALSE,none,,TRUE,2040,TLC Wings & Grill,NC,TRUE,4,['Chicken Wings', 'Restaurants'],,,,,,,,
FALSE,35.0821998,-80.8772249,TRUE,,,,2098,Sarku Japan,NC,TRUE,3,['Restaurants'],,,,,,,,,
FALSE,35.0869866,-80.8717654,TRUE,none,,FALSE,2045,Firehouse Subs,NC,TRUE,4.5,['Delis', 'Fast Food', 'Sandwiches', 'Restaurants'],,,,,,
FALSE,35.076521,-80.882357,TRUE,full_bar,,TRUE,1830,Waldhorn Restaurant,NC,TRUE,4.5,['German', 'Restaurants'],,,,,,,,
FALSE,35.0866339,-80.87693,FALSE,full_bar,,TRUE,1917,Red Lobster,NC,TRUE,2.5,['Seafood', 'American (Traditional)', 'Restaurants'],,,,,,,
FALSE,35.088417,-80.878913,TRUE,none,,TRUE,1849,Jason's Deli,NC,TRUE,4,['Delis', 'Restaurants'],,,,,,,,
,35.089113,-80.876906,FALSE,none,,,1706,Captain D's,NC,TRUE,3,['Restaurants'],,,,,,,,,
FALSE,35.08529006,-80.87984562,FALSE,full_bar,,TRUE,1787,Buca di Beppo,NC,TRUE,3,['Restaurants', 'Italian'],,,,,,,,
FALSE,35.084106,-80.878954,FALSE,none,,FALSE,1861,Taco Bell,NC,TRUE,3,['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants'],,,,,,
FALSE,35.088633,-80.8770119,FALSE,full_bar,,TRUE,1932,LongHorn Steakhouse,NC,TRUE,3.5,['American (Traditional)', 'Steakhouses', 'Restaurants'],,,,,,,
,35.088417,-80.878913,FALSE,,,,1913,Lone Star Steakhouse & Saloon,NC,,2.5,['Steakhouses', 'Restaurants'],,,,,,,,
,35.089035,-80.8670549,,none,,FALSE,1954,Bruegger's Bagels,NC,TRUE,4,['Food', 'Sandwiches', 'Bagels', 'Breakfast & Brunch', 'Restaurants'],,,,,
,35.0857058,-80.8789517,FALSE,,,,1888,Applebee's,NC,TRUE,3,['Bars', 'American (Traditional)', 'Nightlife', 'Steakhouses', 'Sports Bars', 'Restaurants'],,,,
FALSE,35.086418,-80.877383,FALSE,full_bar,,TRUE,1898,Olive Garden Italian Restaurant,NC,TRUE,2.5,['Restaurants', 'Italian'],,,,,,,,
FALSE,35.0862316,-80.8811638,FALSE,full_bar,,TRUE,1732,Tony Roma's,NC,TRUE,3,['American (Traditional)', 'Barbeque', 'Restaurants'],,,,,,,
,35.117183,-80.857545,,,,,1755,Domino's Pizza,NC,,4.5,['Sandwiches', 'Pizza', 'Chicken Wings', 'Restaurants'],,,,,,
FALSE,35.114191,-80.912923,FALSE,none,,TRUE,1890,Kopper Kettle Restaurant,NC,TRUE,4,['American (Traditional)', 'Restaurants'],,,,,,,,
FALSE,35.1118189,-80.915583,FALSE,none,,TRUE,1987,Corner Cafe & Catering,NC,TRUE,4.5,['Cafes', 'Restaurants'],,,,,,,,
,35.0912719,-80.8857699,FALSE,none,,,1865,Arby's,NC,TRUE,2.5,['Fast Food', 'Restaurants'],,,,,,,,
FALSE,35.08442,-80.884608,FALSE,beer_and_wine,,TRUE,1908,China Buffet,NC,TRUE,3,['Buffets', 'Chinese', 'Restaurants'],,,,,,,
FALSE,35.085568,-80.884822,FALSE,none,,TRUE,2049,I Hop,NC,TRUE,3,['Restaurants'],,,,,,,,,
,35.084897,-80.887685,TRUE,full_bar,,FALSE,2068,El Vallarta,NC,TRUE,3.5,['Mexican', 'Restaurants'],,,,,,,,
TRUE,35.228193,-80.846592,FALSE,none,,FALSE,1984,Green's Lunch,NC,TRUE,3.5,['Hot Dogs', 'Restaurants'],,,,,,,,
FALSE,35.231684,-80.8396379,FALSE,full_bar,,FALSE,1869,McNinch House Restaurant,NC,FALSE,4.5,['American (New)', 'Southern', 'French', 'Restaurants'],,,,,,
FALSE,35.23361,-80.840783,FALSE,full_bar,,FALSE,1885,Alexander Michael's,NC,TRUE,4,['Cajun/Creole', 'American (Traditional)', 'Bars', 'Pubs', 'Nightlife', 'Restaurants'],,,,
FALSE,35.2263237,-80.8459493,FALSE,none,,FALSE,1849,Showmars,NC,TRUE,4,['Greek', 'American (Traditional)', 'Mediterranean', 'Restaurants'],,,,,,
FALSE,35.22865023,-80.84500606,FALSE,full_bar,,FALSE,1804,Morton's The Steakhouse,NC,FALSE,4,['American (Traditional)', 'Steakhouses', 'Restaurants'],,,,,,,
FALSE,35.223994,-80.846913,TRUE,none,,FALSE,1927,Matt's Chicago Dog,NC,TRUE,4,['Burgers', 'Hot Dogs', 'Sandwiches', 'Restaurants'],,,,,,
FALSE,35.228985,-80.839671,TRUE,full_bar,,FALSE,1719,Fox and Hound Smokehouse & Tavern,NC,FALSE,3,['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife'],,,,,
FALSE,35.228075,-80.8415605,TRUE,full_bar,,FALSE,1874,Rí Rá Irish Pub,NC,TRUE,3.5,['Pubs', 'Irish', 'Nightlife', 'Bars', 'Restaurants'],,,,,
FALSE,35.2281289,-80.841488,FALSE,beer_and_wine,,FALSE,1920,Soho Bistro,NC,TRUE,4,['Chinese', 'Restaurants'],,,,,,,,
,35.2310245,-80.8381266,,,,,1967,The Sandwich Club,NC,,3.5,['Delis', 'Restaurants'],,,,,,,,
FALSE,35.095238,-80.779082,FALSE,full_bar,,TRUE,1834,Sushiya Japan,NC,TRUE,3.5,['Japanese', 'Restaurants'],,,,,,,,
